policy_seed,terrain_seed,ret
100,159,232.0181028336754
100,160,219.2506070205128
100,161,251.6471513249769
100,162,246.97036378112975
100,163,186.19489157541273
100,164,271.48232464335354
100,165,210.46703270942507
100,166,199.2372983793711
100,167,220.9541591924932
100,168,263.3378043722898
100,169,186.60041993116693
100,170,243.81733840516685
100,171,186.00500301302253
100,172,221.74769232769714
100,173,261.0580361593717
100,174,233.84542061251824
100,175,249.41394163382452
100,176,242.4044689759241
100,177,242.63558642407074
100,178,234.50244679593015
100,179,202.21133545905053
100,180,214.52074341429108
100,181,216.43689551139155
100,182,237.11995684998612
100,183,242.50636479983652
100,184,260.7030087160683
100,185,255.55203725080108
100,186,213.8290829306421
100,187,257.3900432964095
100,188,228.71945098827953
100,189,214.2501221733779
100,190,223.9788528685051
100,191,224.75273968214788
100,192,-20.745425031189882
100,193,223.4431454476006
100,194,188.8624163697487
100,195,256.8766113592029
100,196,199.45261851451556
100,197,249.0637240412905
100,198,215.2488295618521
100,199,245.86257189520558
100,200,261.002457739753
101,1,222.967770701934
101,2,186.6154171248274
101,3,201.2846164792836
101,4,214.6280533439156
101,5,216.7480561667113
101,6,248.21515581014842
101,7,214.81641883723856
101,8,243.61758569491434
101,9,262.7003504302603
101,10,198.46036315966117
101,11,221.94198735605667
101,12,254.92606474147993
101,13,227.94206227076813
101,14,225.65801414156948
101,15,227.43296800695344
101,16,246.33118601947453
101,17,264.5402582318653
101,18,270.6326059040101
101,19,209.4408283779834
101,20,233.87286846394184
101,21,268.73622623198196
101,22,49.90062931668518
101,23,101.65355440497653
101,24,293.73656464407316
101,25,227.75827057069532
101,26,270.96378302947505
101,27,263.04509492475194
101,28,272.09735981664016
101,29,276.9933508747813
101,30,267.727141665995
101,31,231.53565275322524
101,32,232.35574076682673
101,33,249.807412107153
101,34,254.68781138559484
101,35,278.71684028201685
101,36,236.5444839620131
101,37,247.1747515805805
101,38,237.04429007266782
101,39,238.24551150148415
101,40,248.42501196221636
101,41,206.68053910922802
101,42,222.57836967052424
101,43,221.32731255425313
101,44,266.67530180001177
101,45,236.76522915736308
101,46,268.70951998408793
101,47,225.0136018225492
101,48,185.33598233854354
101,49,196.3605508538558
101,50,214.50772581460035
101,51,237.56355810960062
101,52,254.72028266360596
101,53,207.34953391164424
101,54,240.4345469231045
101,55,258.9833528724349
101,56,278.5220711283797
101,57,278.05915368189886
101,58,277.46070266998333
101,59,238.1373284958862
101,60,203.65143417245108
101,61,215.6304238087863
101,62,216.08886700063084
101,63,242.01273209280725
101,64,253.9269346883517
101,65,271.5081479276747
101,66,246.54988325694848
101,67,244.39730232652943
